CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0800601002,08006,002,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,13065,31296,32,2.8
0800601002,08006,002,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,12520,30852,31.7,3
0800601002,08006,002,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,12267,30095,30.5,3
0800602005,08006,005,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,12292,32422,27.9,2.2
0800602005,08006,005,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,11584,30705,27.8,2.3
0800602005,08006,005,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,10950,29667,28.5,2.3
0800602005,08006,005,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,11054,30125,29.1,2.3
0800901002,08009,002,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2018,14203,35835,29.2,2.5
0800901002,08009,002,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2017,16340,47885,35,2.6
0800901002,08009,002,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2016,15397,45407,34.7,2.8
0800901002,08009,002,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2015,15766,46238,36.3,2.7
0801101001,08011,001,01,011,08,09,0801101,08011,Barcelona,Cataluña,ES,5,1,1,Avià,2018,13515,35240,24.7,2.1
0801101001,08011,001,01,011,08,09,0801101,08011,Barcelona,Cataluña,ES,5,1,1,Avià,2017,12851,33650,25.3,2.1
0801101001,08011,001,01,011,08,09,0801101,08011,Barcelona,Cataluña,ES,5,1,1,Avià,2016,12550,33172,25.1,2.2
0801101001,08011,001,01,011,08,09,0801101,08011,Barcelona,Cataluña,ES,5,1,1,Avià,2015,12030,31996,25.4,2.2
0801501004,08015,004,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,17974,43717,30.5,2.4
0801501004,08015,004,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,17309,42900,29.4,2.4
0801501004,08015,004,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,17131,42011,31,2.4
0801501004,08015,004,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,16312,39736,29.4,2.5
0801502004,08015,004,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,17956,46811,28.4,2.4
0801502004,08015,004,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,17556,45390,30.3,2.4
